Architecture,Model,Size_n,BatchSize,LearningRate,Params,FLOPs_per_step,Total_Time,Time_per_Epoch,Final_Loss
TABULAR,MATNETS,4,64,0.001,2064,2117576.0,0.003012418746948242,0.001506209373474121,0.41380736231803894
TABULAR,Scalar,-,64,0.001,2081,695540.0,0.005338430404663086,0.002669215202331543,0.6111232042312622
TABULAR,MATNETS,4,64,0.0005,2064,2117576.0,0.0029954910278320312,0.0014977455139160156,0.4851441979408264
TABULAR,Scalar,-,64,0.0005,2081,695540.0,0.0048868656158447266,0.0024434328079223633,0.7987152934074402
TABULAR,MATNETS,8,32,0.001,8256,8413096.0,0.005075931549072266,0.002537965774536133,0.12851648032665253
TABULAR,Scalar,-,32,0.001,8285,1541480.0,0.007951736450195312,0.003975868225097656,0.12164483964443207
TABULAR,MATNETS,8,32,0.0005,8256,8413096.0,0.004746437072753906,0.002373218536376953,0.3374556303024292
TABULAR,Scalar,-,32,0.0005,8285,1541480.0,0.00896763801574707,0.004483819007873535,0.2573423683643341
TABULAR,MATNETS,8,64,0.001,8256,16719176.0,0.0030260086059570312,0.0015130043029785156,0.305340051651001
TABULAR,Scalar,-,64,0.001,8285,2975400.0,0.004843235015869141,0.0024216175079345703,0.18963195383548737
TABULAR,MATNETS,8,64,0.0005,8256,16719176.0,0.0030939579010009766,0.0015469789505004883,0.45710861682891846
TABULAR,Scalar,-,64,0.0005,8285,2975400.0,0.0056705474853515625,0.0028352737426757812,0.3582439720630646
CONV1D,MATNETS,4,32,0.001,1056,87231040.0,41.60474872589111,20.802374362945557,1.9498165845870972
CONV1D,Scalar,-,32,0.001,1252,155272096.0,22.4568452835083,11.22842264175415,1.8223085403442383
CONV1D,MATNETS,4,32,0.0005,1056,87231040.0,42.81460380554199,21.407301902770996,2.1778173446655273
CONV1D,Scalar,-,32,0.0005,1252,155272096.0,23.18293523788452,11.59146761894226,1.7473559379577637
CONV1D,MATNETS,4,64,0.001,1056,174448576.0,78.7106499671936,39.3553249835968,2.021627426147461
CONV1D,Scalar,-,64,0.001,1252,310527616.0,22.01100468635559,11.005502343177795,1.6663811206817627
CONV1D,MATNETS,4,64,0.0005,1056,174448576.0,79.01226115226746,39.50613057613373,2.1613190174102783
CONV1D,Scalar,-,64,0.0005,1252,310527616.0,23.250000476837158,11.625000238418579,2.005859136581421
CONV1D,MATNETS,8,32,0.001,4224,659158144.0,1974.628833770752,987.314416885376,1.9705402851104736
CONV1D,Scalar,-,32,0.001,4438,602942080.0,62.73495268821716,31.36747634410858,1.7017784118652344
CONV1D,MATNETS,8,32,0.0005,4224,659158144.0,401.6326286792755,200.81631433963776,2.045060157775879
CONV1D,Scalar,-,32,0.0005,4438,602942080.0,45.74005937576294,22.87002968788147,1.6102440357208252
CONV1D,MATNETS,8,64,0.001,4224,1318262272.0,426.78766083717346,213.39383041858673,1.9044013023376465
CONV1D,Scalar,-,64,0.001,4438,1205826816.0,55.06168460845947,27.530842304229736,1.9548449516296387
CONV1D,MATNETS,8,64,0.0005,4224,1318262272.0,1317.1086838245392,658.5543419122696,2.0382256507873535
CONV1D,Scalar,-,64,0.0005,4438,1205826816.0,61.867905616760254,30.933952808380127,1.84498131275177
CONV2D,MATNETS,4,32,0.001,1440,241376704.0,127.0212287902832,63.5106143951416,1.7521840333938599
CONV2D,Scalar,-,32,0.001,1558,198690432.0,46.62154197692871,23.310770988464355,1.3466235399246216
CONV2D,MATNETS,4,32,0.0005,1440,241376704.0,127.2357337474823,63.61786687374115,2.032025098800659
CONV2D,Scalar,-,32,0.0005,1558,198690432.0,48.678324699401855,24.339162349700928,1.7618522644042969
CONV2D,MATNETS,4,64,0.001,1440,482734912.0,129.81797671318054,64.90898835659027,1.8921558856964111
CONV2D,Scalar,-,64,0.001,1558,397359552.0,48.164913177490234,24.082456588745117,1.4003095626831055
CONV2D,MATNETS,4,64,0.0005,1440,482734912.0,158.42787885665894,79.21393942832947,2.052182674407959
CONV2D,Scalar,-,64,0.0005,1558,397359552.0,57.164886713027954,28.582443356513977,1.5141353607177734
CONV2D,MATNETS,8,32,0.001,5760,1892303360.0,620.511477470398,310.255738735199,1.6501610279083252
